0,E4,?,?
0.5,F#4 E4,?,?
1,G#4 E4,?,?
1.5,A4 E4,?,?
2,B4 E4,?,?
2.5,C#5 E4,?,?
3,B4 E-4,?,?
3.5,C#5 E-4,?,?
4,A4 E-4,?,?
4.5,B4 G#4 E4,?,?
5,C#5 G#4 E4,?,?
5.5,E-5 G#4 E4,?,?
6,E5 G#4 C#4,?,?
6.5,F#5 G#4 C#4,4,M
7,G#5 G#4 C#4,4,M
7.5,F#5 B-4 F#4,4,M
8,G#5 B-4 F#4,4,M
8.5,E5 B-4 F#4,4,M
9,E5 B4 B3,4,M
9.125,E-5 B4 B3,4,M
9.25,B4 B3,4,M
9.375,E5 B4 B3,4,M
9.5,E-5 B4 C#4,4,M
10,E-5 B4 E-4,4,M
10.5,C#5 B4 E4,4,M
11,C#5 B4 F#4,4,M
11.5,C#5 B4 G#4,4,M
12,C#5 A4 F#4,4,M
12.5,C#5 A4 G#4,4,M
13,C#5 A4 E4,4,M
13.5,B4 A4 E-4,4,M
14,B4 A4 E4,4,M
14.5,B4 A4 F#4,4,M
15,B4 G#4 E4,4,M
15.5,B4 G#4 F#4,4,M
16,B4 G#4 E-4,4,M
16.5,A4 G#4 C#4,4,M
17,A4 G#4 E-4,4,M
17.5,A4 G#4 E4,4,M
18,A4 F#4 E-4,4,M
18.5,A4 F#4 E4,4,M
19,A4 F#4 C#4,4,M
19.5,G#4 F#4 B3,4,M
20,G#4 F#4 C#4,4,M
20.5,G#4 F#4 E-4,4,M
21,G#4 E4 C#4,4,M
21.5,G#4 E4 E-4,4,M
22,G#4 E4 B3,4,M
22.5,C#5 E4 A3,4,M
23,C#5 F#4 A3,4,M
23.5,C#5 G#4 A3,4,M
24,C#5 A4 F#3,4,M
24.5,C#5 B4 F#3,4,M
25,C#5 F#3,4,M
25.5,E-5 B4 B3,4,M
26,E-5 C#5 B3,4,M
26.5,E-5 A4 B3,4,M
27,E5 G#4 E3,4,M
27.5,E5 G#4 F#3,4,M
28,E5 G#4 G#3,4,M
28.5,E5 F#4 A3,4,M
29,E5 F#4 B3,4,M
29.5,E5 F#4 C#4,4,M
30,E-5 F#4 B3,4,M
30.5,E-5 F#4 C#4,4,M
31,E-5 F#4 A3,4,M
31.5,E-5 E4 G#3,4,M
32,E-5 E4 A3,4,M
32.5,E-5 E4 B3,4,M
33,C#5 E4 A3,4,M
33.5,C#5 E4 B3,4,M
34,C#5 E4 G#3,4,M
34.5,C#5 E-4 F#3,1,m
35,C#5 E-4 G#3,1,m
35.5,C#5 E-4 A3,1,m
36,B4 E-4 G#3,1,m
36.5,B4 E4 G#3,1,m
37,B4 F#4 G#3,1,m
37.5,C#5 G#4 E3,1,m
38,C#5 A4 E3,1,m
38.5,C#5 B4 E3,1,m
39,C#5 A4 F#3,1,m
39.5,C#5 B4 F#3,1,m
40,C#5 G#4 F#3,1,m
40.5,C#5 F#4 E-3,1,m
41,E-5 F#4 E-3,1,m
41.5,E5 F#4 E-3,1,m
42,F#5 C4 E-3,1,m
42.5,G#5 C4 E-3,1,m
43,A5 C4 E-3,1,m
43.5,G#5 C4 G#3,1,m
44,A5 C4 G#3,1,m
44.5,F#5 C4 G#3,1,m
45,E5 C#4 C#3,1,m
45.5,G#5 C#4 C#3,1,m
46,E-5 C#4 C#3,1,m
46.5,E5,1,m
46.625,E-5,1,m
46.875,E5,1,m
47,G#5,1,m
47.5,C5,1,m
48,C#5 E3,1,m
48.125,C5 E3,1,m
48.25,E3,1,m
48.375,C#5 E3,1,m
48.5,E5 E3,1,m
49,E5 G#4 E3,1,m
49.5,E5 B-4 F#3,1,m
50,E5 C#5 F#3,1,m
50.5,E5 G#4 F#3,1,m
51,B-4,1,m
51.5,C#5,1,m
52,F4,1,m
52.5,E5 F#4,4,M
53,E5 A4,4,M
53.5,E5 A4 C#4,4,M
54,E5 A4 E-4,4,M
