2,B4 B3 D4 G3,7,M
2.375,B4,7,M
2.5,B4 B3 D4 G3,7,M
2.875,B4,7,M
3,D5 B3 D4 G3,7,M
3.5,D5 B3 D4 G3,7,M
4,G5 B3 D4 G3,7,M
4.5,G5 B3 D4 G3,7,M
5,B5 B3 D4 G3,7,M
5.375,B5,7,M
5.5,B5 B3 D4 G3,7,M
5.75,B3 D4 G3,7,M
6,D6 C4 D4 F#4 G3,7,M
6.25,C6 C4 D4 F#4 G3,7,M
6.375,C6,7,M
6.5,D6 C4 D4 F#4 G3,7,M
6.75,C6 C4 D4 F#4 G3,7,M
6.875,C6,7,M
7,A5 C4 D4 F#4 G3,7,M
7.5,C4 D4 F#4 G3,7,M
8,D6 C4 D4 F#4 G3,7,M
8.25,C6 C4 D4 F#4 G3,7,M
8.375,C6,7,M
8.5,D6 C4 D4 F#4 G3,7,M
8.75,C6 C4 D4 F#4 G3,7,M
8.875,C6,7,M
9,A5 C4 D4 F#4 G3,7,M
9.5,C4 D4 F#4 G3,7,M
10,B4 B3 D4 G3,7,M
10.375,B4,7,M
10.5,B4 B3 D4 G3,7,M
10.875,B4,7,M
11,D5 B3 D4 G3,7,M
11.5,D5 B3 D4 G3,7,M
12,G5 B3 D4 G3,7,M
12.5,G5 B3 D4 G3,7,M
13,B5 B3 D4 G3,7,M
13.375,B5,7,M
13.5,B5 B3 D4 G3,7,M
13.75,B3 D4 G3,7,M
14,D6 C4 D4 F#4 G3,7,M
14.25,C6 C4 D4 F#4 G3,7,M
14.375,C6,7,M
14.5,D6 C4 D4 F#4 G3,7,M
14.75,C6 C4 D4 F#4 G3,7,M
14.875,C6,7,M
15,A5 C4 D4 F#4 G3,7,M
15.33333333,C4 D4 F#4 G3,7,M
15.5,A5 C4 D4 F#4 G3,7,M
15.75,B5 C4 D4 F#4 G3,7,M
15.875,B5,7,M
16,G5 B3 D4 G4 G3,7,M
16.375,G5,4,m
16.5,G5 B3 G3,4,m
16.75,B3 G3,4,m
17,B3 G3,4,m
17.5,B3 G3,4,m
18,B5 G3 B3 E3,4,m
18.25,A5 G3 B3 E3,4,m
18.375,A5,4,m
18.5,G5 G3 B3 E3,4,m
18.75,F#5 G3 B3 E3,4,m
18.875,F#5,4,m
19,E5 G3 B3 E3,4,m
19.25,F#5 G3 B3 E3,4,m
