1,D5 F#3 D2,2,M
2,C#5 G3 E2,2,M
2.5,D5 A3 F#2,2,M
3,B4 D3 G2,2,M
4,A4 D4 F#2,2,M
4.5,B4 D4 G2,2,M
5,F#4 D4 A2,2,M
6,E4 C#4 A3,2,M
7,A4 D4 F#3,2,M
8,B4 G4 E3,2,M
8.5,C#5 G4 A2,2,M
9,E5 G4 A2,2,M
9.5,D5 F#4 D2,2,M
10,C#5 G4 E2,2,M
10.5,D5 A4 F#2,2,M
11,C#5 D4 F#2,2,M
11.5,B4 D4 G2,2,M
12,A4 C#4 D3,2,M
12.5,B4 B3 G3,2,M
13,F#4 D4 A2,2,M
13.5,F#4 D4 A3,2,M
14,E4 C#4 A3,2,M
14.5,E4 C#4 A2,2,M
15,F#4 D4 D3,2,M
16,G#4 E4 C#3,2,M
16.5,B-4 E4 C#3,2,M
17,B4 D4 B2,2,M
18,A4 E4 C#3,2,M
18.5,B4 F#4 D3,2,M
19,G4 B3 E3,2,M
20,F#4 B3 D3,9,M
20.5,G#4 B3 D3,9,M
21,B-4 E4 C#3,9,M
21.5,B4 D4 B2,9,M
22,A4 E4 C#3,9,M
22.5,B4 F#4 D3,11,m
23,G4 B3 E3,11,m
23.5,B4 B3 E3,11,m
24,B-4 E4 G3,11,m
24.5,B4 G4 E3,11,m
25,D5 F#4 F#3,11,m
26,C#5 E4 F#2,11,m
26.5,D5 F#4 F#2,11,m
27,B4 D4 B2,11,m
27.5,B4 D4 D3 B2,11,m
28,B4 D5 D6 D4 D3 B2,11,m
28.5,B4 D5 D6 E4 E3 G2,2,M
29,A4 D5 D6 F#4 F#3 D2,2,M
30,C#5 C#6 G4 G3 E2,2,M
30.5,D5 D6 A4 A3 F#2,2,M
31,B4 B5 D4 D3 G2,2,M
32,A4 A5 D5 D4 F#2,2,M
32.5,B4 B5 D5 D4 G2,2,M
33,F#4 F#5 D5 D4 A2,2,M
33.5,F#4 F#5 D5 D4 A3,2,M
34,E4 E5 C#5 C#4 A3,2,M
34.5,E4 E5 C#5 C#4 G3,2,M
35,A4 A5 D5 D4 G3,2,M
35.5,A4 A5 D5 D4 F#3,2,M
36,B4 B5 G5 G4 E3,2,M
36.5,C#5 C#6 E5 G4 A2,2,M
37,E5 E6 C#5 G4 A2,2,M
37.5,D5 D6 A4 F#4 D2,2,M
37.625,D6 A4 F#4 D2,2,M
37.75,E5 D6 A4 F#4 D2,2,M
37.875,D5 D6 A4 F#4 D2,2,M
38,C#5 C#6 G4 E4 E2,2,M
38.5,D5 D6 A4 D4 F#2,2,M
39,C#5 C#6 A4 D3 G2,2,M
39.5,B4 B5 G4 D3 G2,2,M
40,A4 A5 D4 A3 F#2,2,M
40.5,B4 B5 D4 G3 E2,2,M
41,F#4 F#5 D4 D3 A2,2,M
41.5,F#4 F#5 D4 F#3 A2,2,M
42,E4 E5 C#4 A3 A2,2,M
42.5,E4 E5 C#4 A3 A2,2,M
43,F#4 F#5 D4 A3 D3,2,M
43.5,F#4 F#5 D4 F#3 D3,2,M
44,G#4 G#5 E4 E3 C#3,2,M
44.5,B-4 B-5 E4 E3 C#3,2,M
45,B4 B5 F#4 D3 B2,2,M
45.5,B4 B5 D4 B2,2,M
46,A4 A5 E4 C#4 C#3,2,M
46.5,B4 B5 F#4 B3 D3,11,m
47,G4 G5 B3 E3,11,m
48,F#4 F#5 B-3 F#3,11,m
48.5,F#4 F#5 B3 G#3 F#3,11,m
49,F#4 F#5 C#4 B-3 F#3,11,m
50,G#4 F#4 D4 B3 F#3,11,m
50.5,G#4 F#4 E4 C#4 F#3,11,m
51,B-4 F#4 C#4 F#3,11,m
51.5,B-4 F#4 C#4 F#3 E3,11,m
52,F#4 B3 D3,11,m
52.5,G#4 B3 D3,11,m
53,B-4 E4 C#3,11,m
53.5,B4 D4 B2,11,m
54,A4 E4 C#3,11,m
54.5,B4 F#4 E-3,11,m
55,G4 B3 E3,11,m
55.5,B4 E4 C#3,11,m
56,B-4 E4 G3,11,m
56.5,B4 G4 E3,11,m
57,D5 D4 F#3,11,m
57.5,D5 F#4 F#3,11,m
58,C#5 E4 F#2,11,m
58.5,D5 F#4 F#2,11,m
59,B4 D4 B2,11,m
59.5,B4 D4 D3 B2,11,m
60,B4 D5 D6 D4 D3 B2,11,m
60.5,B4 D5 D6 E4 E3 G2,2,M
61,A4 D5 D6 F#4 F#3 D2,2,M
61.25,A4 D5 D6 F#4 F#3,2,M
61.33333333,A2 A4 D5 D6 F#4 F#3,2,M
61.5,D5 D6 F#4 D3 F#3 A2,2,M
61.58333333,D5 D6 F#4 D3 F#3,2,M
61.75,D5 D6 F#4 D3 D4,2,M
62,C#5 C#6 G4 E3 D4,2,M
62.5,D5 D6 A4 F#3 D4,2,M
63,C#5 C#6 D4 G3 G2,2,M
63.25,C#5 C#6 D4 G3,2,M
63.33333333,D3 C#5 C#6 D4 G3,2,M
63.5,B4 B5 D5 G3 B3 D3,2,M
63.58333333,B4 B5 D5 G3 B3,2,M
63.75,B4 B5 D5 G3 D4,2,M
64,A4 A5 D5 F#3 D4,2,M
64.5,B4 B5 D5 G3 D4,2,M
65,F#4 F#5 D5 A3 A2,2,M
65.25,F#4 F#5 D5 A3,2,M
65.33333333,F#4 F#5 D5 A3 D3,2,M
65.5,F#4 F#5 D4 F#3 D3,2,M
65.58333333,F#4 F#5 D4 F#3,2,M
65.75,F#4 F#5 D4 A3,2,M
66,E4 E5 C#4 A4 A3,2,M
66.25,E4 E5 A3,2,M
66.33333333,E4 E5 A3,2,M
66.5,E4 E5 A4 C#4 G3,2,M
66.58333333,E4 E5 A4 C#4 G3,2,M
66.75,E4 E5 A3 G3,2,M
67,A4 A5 D5 A3 G3,2,M
67.5,B-4 A5 D4 B-3 F#3,2,M
68,B4 A5 A4 B3 E3,2,M
68.5,C5 G5 G4 C4 A2,2,M
69,C#5 G5 G4 C#4 A2,2,M
69.25,C#5 G5 G4 C#4,2,M
69.33333333,C#5 G5 G4 C#4 D2,2,M
69.5,E5 F#5 F#4 E4 A2 D2,2,M
69.58333333,E5 F#5 F#4 E4 A2,2,M
69.75,E5 F#5 F#4 E4 F#3,2,M
70,D5 F#5 F#4 D4 F#3,2,M
70.25,D5 F#5 F#4 D4,2,M
70.33333333,D5 F#5 F#4 D4 F#2,2,M
70.5,A4 D5 D4 F#3 D3 F#2,2,M
70.58333333,A4 D5 D4 F#3 D3,2,M
70.75,A4 D5 D4 F#3,2,M
71,B-4 D5 D4 F#3,2,M
71.25,B-4 D5 D4 F#3,2,M
71.33333333,B-4 D5 D4 F#3 G2,2,M
71.5,C#5 D4 G3 D3 G2,2,M
71.58333333,C#5 D4 G3 D3,2,M
71.75,C#5 D4 G3 B3,2,M
72,B4 D4 G3 B3,2,M
72.25,B4 D4,2,M
72.33333333,B4 D4 G3 E2,2,M
72.5,G4 B3 D4 G3 D3 E2,2,M
72.58333333,G4 B3 D4 G3 D3,2,M
72.75,G4 B3 D4 E3 G3,2,M
72.83333333,G4 B3 D4 E3 G3,2,M
73,F#4 D4 A3 A2,2,M
73.5,F#4 A3 D4,2,M
74,E4 C#4 A3,2,M
74.5,E4 C#4 G3 A2,2,M
75,D4 G3 A2,2,M
