0,E4 B3 G#3 E3,4,M
0.5,G#4 E4 E3,4,M
1,E4 B3 G#3 E3,4,M
1.5,G#4 E4 E3,4,M
2,E4 B3 G#3 E3,4,M
2.5,G#4 E4 E3 G#3,4,M
3,E4 B3 G#3 E3,4,M
3.5,G#4 E4 E3 G#3,4,M
4,E4 B3 G#3 E3,4,M
4.5,G#4 E4 E3 G#3,4,M
5,E4 B3 G#3 E3,4,M
5.5,G#4 E4 E3 G#3,4,M
6,E4 B3 G#3 E3,4,M
6.5,G#4 E4 E3 B3,4,M
7,E4 B3 G#3 A3 E3,4,M
7.5,G#4 E4 E3 G#3,4,M
8,E-4 B3 A3 F#3 E3,4,M
8.5,F#4 E-4 F#3 E3,4,M
9,E-4 B3 A3 F#3 E3,4,M
9.5,F#4 E-4 F#3 E3,4,M
10,E-4 B3 A3 F#3 E3,4,M
10.5,F#4 E-4 F#3 E3,4,M
11,E-4 B3 A3 F#3 E3,4,M
11.5,F#4 E-4 F#3 E3,4,M
12,E-4 B3 A3 F#3 E3,4,M
12.5,F#4 E-4 F#3 E3,4,M
13,E-4 B3 A3 F#3 E3,4,M
13.5,F#4 E-4 F#3 E3,4,M
14,E-4 B3 A3 F#3 E3,4,M
14.5,F#4 E-4 F#3 A3 E3,4,M
15,E-4 B3 A3 G#3 E3,4,M
15.5,F#4 E-4 F#3 E3,4,M
16,E4 G#3 E3,4,M
17,E4 G#3 E3,9,M
18,E4 G#3 E3,9,M
19,E4 G#3 E3,9,M
20,E4 D4 B3 E3,9,M
21,E4 D4 B3 E3,9,M
22,E4 D4 B3 E3,9,M
23,F#4 D4 B3 F#3 E3,9,M
23.5,G#4 D4 B3 G#3 E3,9,M
24,A4 C#4 A3 E3,9,M
25,E5 E4 C#4 A3 E3,9,M
26,E5 E3 E4 D4 B3,9,M
27,F#5 F#3 F#4 D4 B3 E3,9,M
27.5,G#5 G#3 G#4 D4 B3 E3,9,M
28,A5 A3 A4 C#4 E3,9,M
29,E5 E4 C#4 A3 E3,9,M
30,E5 E4 D4 B3 E3,9,M
31,F#5 F#4 D4 B3 F#3 E3,9,M
31.5,G#5 G#4 D4 B3 G#3 E3,9,M
32,A5 A4 C#4 A3 E3,9,M
33,A5 A4 C#4 A3 E3,9,M
34,A5 A3 A4 C4 E3,9,M
35,B5 B3 B4 C4 A3 E3,9,M
35.5,C6 C4 C5 A3 E3,?,?
36,F#5 F#3 F#4 C4 A3 E3,?,?
37,F#5 F#3 F#4 C4 A3 E3,?,?
38,F#5 F#3 F#4 A3 E3,?,?
39,G#5 G#3 G#4 A3 F#3 E3,?,?
39.5,A5 A4 F#3 A3 E3,?,?
40,E-5 E-3 E-4 A3 F#3 E3,?,?
41,E-5 E-4 A3 F#3 E-3 E3,4,M
42,E-5 E-3 E-4 F#4 A3 E3,4,M
43,E5 E3 E4 F#4 A3,4,M
43.5,F#5 F#3 F#4 A3 E3,4,M
44,B4 B2 B3 F#4 A3 E3,4,M
45,B4 B2 B3 F#4 A3 E3,4,M
46,B4 B2 B3 A3 E3,4,M
47,C#5 C#3 C#4 A3 B3 E3,4,M
47.5,E-5 E-3 E-4 A3 B3 F#3 E3,4,M
48,E5 E3 E4 B3 G#3,4,M
49,G#3,4,M
54,C#6 C#5 C#4,6,m
56,A5 A4 A3,6,m
58,B5 B4 B3,6,m
60,G#5 G#4 G#3,6,m
62,C#5 C#4 C#3,9,M
64,A4 A3 A2,9,M
66,B4 B3 B2,9,M
68,E4 E3 E2,9,M
70,E5,4,M
71,E5,4,M
72,G#3 G#4 B4 E5 E4 E3,4,M
72.5,G#5 G#3 G#4 B4 E5 E4 E3,4,M
73,E5 F#5 G#3,4,M
73.5,E5 G#3,4,M
74,E-5 B4 F#5 F#4 B3 B2,4,M
74.5,C#5 B4 F#5 F#4 E-5 B3 B2,4,M
75,F#5 B4 B3,4,M
75.5,F#5 A4 B3,4,M
76,G#5 E4 G#4 B4 E5 E3 E2,4,M
77,G#4,4,M
78,B3,4,M
79,B3,4,M
80,B3 G#5 G#4 B4 E5 E4 E3,4,M
80.5,E4 G#5 G#4 B4 E5 E3,4,M
81,G#5 E-4 E4,4,M
81.5,G#5 C#4 E4,4,M
82,B3 F#5 B4 F#4 E-5 B2,4,M
82.5,A3 F#5 B4 F#4 E-5 B3 B2,4,M
83,F#5 G#3 B3,4,M
83.5,F#5 F#3 B3,4,M
84,G#3 E4 G#4 B4 E5 E3 E2,4,M
84.5,G#3 E4 G#4 B4 E5 E3,4,M
85,E3 B4 G#4 E4,4,M
85.5,E3 B4 G#4 E4,4,M
86,E-5 A4 F#4 E3,4,M
86.5,B4 A4 F#4 E3,4,M
87,C#5 A4 F#4 E3,4,M
87.5,E-5 A4 F#4 E3,4,M
88,E5 G#4 E4 E3,4,M
88.5,E5 B4 G#4 E4 E3,4,M
89,B4 G#4 E4 E3,4,M
89.5,B4 G#4 E4 E3,4,M
90,B3 B4 E-4 F#4 E3,4,M
90.5,C#4 C#5 E-4 F#4 E3,4,M
91,B3 B4 E-4 F#4 E3,4,M
91.5,A3 A4 E-4 F#4 E3,4,M
92,B4 G#3 G#4 E4 E3,4,M
92.5,B4 G#3 G#4 E4 E3,4,M
93,E3 G#3 B4 G#4,4,M
93.5,E3 G#3 B4 G#4,4,M
94,E-5 F#3 F#4 B4 B3,4,M
94.5,E-5 F#3 B4 E-4 B3,4,M
95,E-5 F#3 B4 E-4,4,M
95.5,E-5 F#3 B4 E-4,4,M
96,E5 G#3 G#4 E4 E3,4,M
96.5,E5 G#3 B4 E4 E3,4,M
97,E5 G#3 B4 G#4,4,M
97.5,E5 G#3 B4 E4,4,M
98,F#5 E-4 B3 B2,4,M
98.5,F#5 B3 B4 F#4 B2,4,M
99,F#5 B3 B4,4,M
99.5,F#5 B3 B4 E-5,4,M
100,G#5 E4 E5 E3,4,M
101,E4 G#5 E5,4,M
103,B3 F#5 B4,4,M
104,G#3 E5 G#4,4,M
106,G#4 E4 G#3 E3,4,M
107,E4 E3,4,M
108,B4 B3 F#4 E-3,4,M
108.5,B4 C#4 F#4 B3 E-3,4,M
109,B4 B3 F#4 E-3,4,M
109.5,B4 C#4 F#4 B3 E-3,4,M
110,G#4 B3 E4 G#3 E3,4,M
110.5,G#4 C#4 E4 G#3 E3,4,M
111,E4 B3 E3,4,M
111.5,C#4 E4 E3,4,M
112,B4 B3 F#4 E-3,4,M
112.5,B4 C#4 F#4 B3 E-3,?,?
113,B4 B3 F#4 E-3,?,?
113.5,B4 C#4 F#4 B3 E-3,?,?
114,G#4 B3 E4 G#3 E3,?,?
114.5,G#4 C#4 E4 G#3 E3,?,?
115,E4 B3 E3,?,?
115.5,C#4 E4 E3,?,?
116,B4 B3 F#4 E-3,?,?
116.5,B4 C#4 F#4 B3 E-3,?,?
117,B4 B3 F#4 E-3,?,?
117.5,B4 C#4 F#4 B3 E-3,?,?
118,G#4 B3 E4 G#3 E3,?,?
118.5,G#4 C#4 E4 G#3 E3,?,?
119,E4 B3 E3,?,?
119.5,C#4 E4 E3,?,?
120,B4 B3 E-4 B2,?,?
120.5,B4 C#4 E-4 B3 B2,?,?
121,F#4 B3 E-4 F#3 E-3,?,?
121.5,F#4 C#4 E-4 F#3 E-3,?,?
122,G#4 B3 E4 G#3 E3,?,?
122.5,G#4 C#4 E4 G#3 E3,?,?
123,E4 B3 C#4 E3 C#3,?,?
123.5,E4 B-3 C#4 E3 C#3,?,?
124,B4 B3 E-4 B2,?,?
124.5,B4 C#4 E-4 B3 B2,4,M
125,F#4 B3 E-4 F#3 E-3,4,M
125.5,F#4 C#4 E-4 F#3 E-3,4,M
126,G#4 B3 E4 G#3 E3,4,M
126.5,G#4 C#4 E4 G#3 E3,4,M
127,E4 B3 C#4 E3 C#3,4,M
127.5,E4 B-3 C#4 E3 C#3,4,M
128,B4 E-4 B3 B2,4,M
129,B-3,4,M
129.5,A3,4,M
130,G#3,4,M
131,G#3,4,M
132,E4 B3 G#3 E3,4,M
132.5,G#4 E4 E3 G#3,4,M
133,E4 B3 G#3 E3,4,M
133.5,G#4 E4 E3 G#3,4,M
134,E4 B3 G#3 E3,4,M
134.5,G#4 E4 E3 B3,4,M
135,E4 B3 G#3 A3 E3,4,M
135.5,G#4 E4 E3 G#3,4,M
136,E-4 B3 A3 F#3 E3,4,M
136.5,F#4 E-4 F#3 E3,4,M
137,E-4 B3 A3 F#3 E3,4,M
137.5,F#4 E-4 F#3 E3,4,M
138,E-4 B3 A3 F#3 E3,4,M
138.5,F#4 E-4 F#3 E3,4,M
139,E-4 B3 A3 F#3 E3,4,M
139.5,F#4 E-4 F#3 E3,4,M
140,E-4 B3 A3 F#3 E3,4,M
140.5,F#4 E-4 F#3 E3,4,M
