0,F4,?,?
1,E4,?,?
1.5,F4,?,?
2,B-4 G4,?,?
3,A4 E4,?,?
3.5,B-4 E4,?,?
4,E5 C5 C4,?,?
5,D5 A4 C#4,?,?
5.5,E5 A4 C#4,?,?
6,F5 F4 D4,?,?
7,D5 F#4 D4,?,?
8,B-4 G4,?,?
9,B4 G4 F4,?,?
10,C5 E4,?,?
10.5,C5 C4,?,?
11,C5 B-4 G4,?,?
12,A4 F4,?,?
12.5,F4,0,m
13,E-5 C5 F#4,0,m
14,D5 B-4 G4,0,m
14.5,B-4 G4,0,m
15,F5 B4 D4,0,m
16,E-5 C5 C4,0,m
17,E5 G4 C#4,0,m
18,F5 F4 D4,0,m
19,C5 F#4 D4,0,m
20,B-4 G4 D4,0,m
21,B4 G4 F4,0,m
22,C5 G4 E4,5,M
23,C5 B-4 D4,5,M
23.5,C5 B-4 E4,5,M
24,C5 A4 F4,5,M
25,E-5 G4 E4,5,M
25.5,E-5 A4 F4,5,M
26,D5 B-4 G4,5,M
27,C5 A4 E4,5,M
27.5,D5 B-4 E4,5,M
28,E5 C5 C4,5,M
29,D5 A4 C#4,5,M
29.5,E5 A4 C#4,5,M
30,F5 F4 D4,5,M
31,D5 F#4 D4,?,?
32,B-4 G4,?,?
33,B4 G4 F4,?,?
34,C5 E4,?,?
34.5,C5 C4,?,?
35,C5 B-4 G4,?,?
36,A4 F4,?,?
36.5,F4,0,m
37,E-5 C5 F#4,0,m
38,D5 B-4 G4,0,m
38.5,B-4 G4,0,m
39,F5 B4 D4,0,m
40,E-5 C5 C4,0,m
41,E5 G4 C#4,0,m
42,F5 F4 D4,0,m
43,C5 F#4 D4,0,m
44,B-4 G4 D4,0,m
45,B4 G4 F4,0,m
46,C5 G4 E4,5,M
47,C5 B-4 D4,5,M
47.5,C5 B-4 E4,5,M
48,C5 A4 F4,5,M
49,E-5 G4 E4,5,M
49.5,E-5 A4 F4,5,M
50,D5 B-4 G4,5,M
51,C5 A4 E4,5,M
51.5,D5 B-4 E4,5,M
52,E5 C5 C4,5,M
53,D5 A4 C#4,5,M
53.5,E5 A4 C#4,5,M
54,F5 F4 D4,5,M
55,D5 F#4 D4,?,?
56,B-4 G4,?,?
57,B4 G4 F4,?,?
58,C5 E4,?,?
58.5,C5 C4,?,?
59,C5 B-4 G4,?,?
60,A4 F4,?,?
60.5,F4,0,m
61,E-5 C5 F#4,0,m
62,D5 B-4 G4,0,m
62.5,B-4 G4,0,m
63,F5 B4 D4,0,m
64,E-5 C5 C4,5,M
65,E5 G4 C#4,5,M
66,F5 F4 D4,5,M
67,C5 F#4 D4,5,M
68,B-4 G4 D4,5,M
69,B4 G4 F4,5,M
70,C5 G4 E4,5,M
71,C5 B-4 D4,5,M
71.5,C5 B-4 E4,5,M
72,C5 A4 F4,5,M
