2.5,B-3,?,?
3,E-4 E-3 E-2,?,?
3.5,E-4,?,?
4,E-4,?,?
4.5,E-4 G3 G2,?,?
5,E-4,?,?
5.5,B-3 E-4,?,?
6,F4 E-4 G#3 G#2,?,?
6.375,G#3 G#2,?,?
6.5,F4 E-4 A3 A2,?,?
6.875,A3 A2,?,?
7,F4 E-4 B-3 B-2,?,?
7.375,B-3 B-2,?,?
7.5,F4 E-4 B3 B2,?,?
7.875,B3 B2,?,?
8,F4 E-4 B-3 B-2,?,?
8.375,B-3 B-2,?,?
8.5,C4 F4 E-4 A3 A2,?,?
9,G#4 F4 E-4 B-3 B-2,?,?
9.375,E-4 B-3 B-2,?,?
9.5,G#4 F4 D4 B-3 B-2,?,?
9.875,D4 B-3 B-2,?,?
10,G#4 F4 C4 B-3 B-2,?,?
10.375,C4,?,?
10.5,G#4 F4 E-4 D4 B-2 B-1,?,?
10.625,G#4 F4 E-4 D4 B-2 B-1,?,?
10.75,G#4 F4 E-4 D4 B-2 B-1,?,?
10.875,E-4 D4 B-2 B-1,?,?
11,G#4 F4 E-4 D4 B-2 B-1,?,?
11.125,G#4 F4 E-4 D4 B-2 B-1,?,?
11.25,G#4 F4 E-4 D4 B-2 B-1,?,?
11.375,E-4 B-2 B-1,?,?
11.5,G#4 F4 D4 E-4 B-2 B-1,?,?
11.625,G#4 F4 E-4 D4 B-2 B-1,?,?
11.75,G#4 F4 C4 B-2 B-1,?,?
11.875,D4,?,?
12,G#4 F4 E-4 E-3 E-2,?,?
12.375,G#4 F4,?,?
12.5,G4 E-4 E-3,?,?
12.875,B-4 G4,?,?
13,E-4 G#4 F4 E-3,?,?
13.375,C5 G#4,?,?
13.5,E-4 B-4 G4 E-3,?,?
14,E-3 E-4,?,?
14.5,E-3 E-4 E-5,?,?
14.875,E-5 E-4,?,?
15,B4 B3 G#3 G#2 G#1,?,?
15.375,B4 B3,?,?
15.5,E-3 E-4 B4 B3,?,?
15.875,B4 B3,3,M
16,E-3 E-4 C5 C4,3,M
16.5,E-3 E-4,3,M
17,E-3 E-4,3,M
17.5,E-3 E-4 E-5,3,M
17.875,E-5 E-4,3,M
18,A4 A3 G3 G2 G1,3,M
18.375,A4 A3,3,M
18.5,E-3 E-4 A4 A3,3,M
18.875,A4 A3,3,M
19,E-3 E-4 B-4 B-3,3,M
19.5,E-3 E-4,3,M
20,E-3 E-4,3,M
20.5,E-3 E-4 E-5,3,M
21,D5,3,M
21.125,F5,3,M
21.5,G#4 F4 B-3 D3 D2,3,M
22,G4 E-4 B-3 E-3 E-2,3,M
22.25,G4 E-4 E-3 E-2,3,M
22.5,D5,3,M
22.625,F5,3,M
23,G#4 F4 B-3 D3 D2,3,M
23.5,G4 E-4 B-3 E-3 E-2,3,M
23.75,G4 E-4 E-3 E-2,3,M
24,B-4 G4 B-3 B-2 B-1,3,M
24.5,A4 F#4 B-3 B-2 B-1,3,M
24.75,G#4 F4 B-3 B-2 B-1,3,M
25,G4 E4 B-3 B-2 B-1,3,M
25.25,F#4 E-4 B-3 B-2 B-1,3,M
25.5,F4 D4 B-3 B-2 B-1,3,M
25.875,D4,3,M
26.5,B-3 B-2 B-1,3,M
27,E-4 E-5 E-3 E-2,3,M
27.375,E-5,3,M
27.5,E-4 E-5 E-3 E-2,3,M
27.875,E-5,3,M
28,E-4 E-5 E-3 E-2,3,M
28.375,E-5,3,M
28.5,E-4 G5 E-3 E-2,3,M
28.875,G5,3,M
29,E-4 G5 E-3 E-2,3,M
29.375,G5,3,M
29.5,E-4 G5 B-3 E-3 E-2,3,M
29.875,G5,3,M
30,E-4 G#5 F4 E-3 E-2,3,M
30.375,E-4 G#5 E-3 E-2,3,M
30.5,E-4 G#5 F4 E-3 E-2,3,M
30.875,E-4 G#5 E-3 E-2,3,M
31,E-4 G#5 F4 E-3 E-2,3,M
31.375,E-4 G#5 E-3 E-2,3,M
31.5,E-4 A5 F4 E-3 E-2,3,M
31.875,E-4 A5 E-3 E-2,3,M
32,E-4 A5 F4 E-3 E-2,3,M
32.375,E-4 A5 E-3 E-2,3,M
32.5,E-3 E-4 A5 C4 F4 E-2,3,M
32.875,A5 E-3 E-2,?,?
33,B5 G#4 F4 E-3 E-2,?,?
33.375,B5 E-3 E-2,?,?
33.5,B5 G#4 F4 E-3 E-2,?,?
33.875,B5 E-3 E-2,3,M
34,B5 G#4 F4 E-3 E-2,3,M
34.375,B5,3,M
34.5,B-5 G#4 F4 D3 D2,3,M
34.875,B-5 D3 D2,3,M
35,B-5 G#4 F4 D3 D2,3,M
35.375,B-5 D3 D2,3,M
35.5,B-5 G#4 F4 D3 D2,3,M
35.875,B-5,3,M
36,B-5 G#4 F4 E-3 E-2,3,M
36.375,B-5 G#4 F4,3,M
36.5,B-5 G4 E-4 E-3 E-2,3,M
36.875,B-5 B-4 G4,3,M
37,E-4 B-5 G#4 F4 E-3 E-2,3,M
37.25,E-4 C6 G#4 F4 E-3 E-2,3,M
37.375,B-5 C5 G#4,3,M
37.5,E-4 E-6 B-4 G4 E-3 E-2,3,M
38,E-3 E-4,3,M
38.5,E-3 E-4,3,M
38.875,E-4 E-3,3,M
39,B3 B2,3,M
39.5,E-3 E-4 G5 G4 B3 B2,3,M
39.875,G5 G4 B3 B2,3,M
40,E-3 E-4 G#5 G#4 C4 C3,3,M
40.5,E-3 E-4 G#5 B-5 G#4 B-4,3,M
40.625,E-3 E-4 C6 C5,3,M
40.875,C6 C5,3,M
41,E-3 E-4 C6 C5,3,M
41.25,E-3 E-4 B-5 B-4,3,M
41.375,B-5 B-4,3,M
41.5,E-3 E-4 G#5 G#4,3,M
41.875,E-4 E-3,3,M
42,A3 A2,3,M
42.5,E-3 E-4 F#5 F#4 A3 A2,3,M
42.875,F#5 F#4 A3 A2,3,M
43,E-3 E-4 G5 G4 B-3 B-2,3,M
43.5,E-3 E-4 G5 G#5 G4 G#4,3,M
43.625,E-3 E-4 B-5 B-4,3,M
43.875,B-5 B-4,3,M
44,E-3 E-4 B-5 B-4,3,M
44.25,E-3 E-4 G#5 G#4,3,M
44.375,G#5 G#4,3,M
44.5,G5 G4 E-4 E-3,3,M
45,D4 D3,3,M
45.125,F4 F3,3,M
45.5,F5 D4 B-4 G#3 G#2,3,M
45.75,B-4 F4 G#3 G#2,3,M
46,E-5 G4 B-4 G3 G2,3,M
