0,E-4 F#3 E-2 B-2,?,?
1,E4 G#3 E-2 B2,8,m
3,E-4 F#3 E-2 B-2,1,M
5,E4 G#3 E-2 B2,1,M
6,F#3 B3 G#2 E-3,1,M
7,F3 C#4 C#2 G#2,1,M
9,C#1 F3 C#4 C#2 G#2,1,M
10,F3 C#4 C#2 G#2,1,M
12,D4 G#4 C5 F3 B-3,5,m
18,B-2,?,?
18.5,F3,?,?
19,G#3,?,?
19.5,B-3,?,?
20,C4,?,?
20.5,F4,?,?
21,E-4 G4 A3 F2 C3,?,?
22,E-4 G4 F1 A3 F2 C3,?,?
24,C4 G4 G#3 E-3,8,M
25,C4 F4 G#3 C#3,8,M
26,C#4 B-4 B-2 F3,8,M
26.5,C#4 B-4 E-1 B-2 F3,8,m
27,E-4 G4 B-4 E-5 E-3 G3 B-3,8,m
30,E-4 G#4 G#3 B3,8,m
30.5,E-4 G4 B4 E-3 B-3,8,m
31,E4 G#4 C#5 C#3 G#3,8,m
31.5,G#4 C#5 E5 G#3 C#4,8,m
32,E4 G#4 C#5 C#3 G#3,8,m
32.5,G#4 C#5 E5 G#3 C#4,8,m
33,E4 G#4 B-3 F#2 C#3,8,m
34,E-4 F#4 B-4 B2 F#3 B-3,8,m
35,F3 B3 E-4 C#2 G#2,8,m
36,E3 G#3 C#4 F#2 B-2,?,?
37,F#3 G#3 C4 G#1 E-2,?,?
39,E-4 G#4 C#3 F3 B3,6,m
40.5,E-4 G#4 B4 G#3 B3 G#2 E-3,6,m
41,C#4 F#4 B-4 F#3 B-2,6,m
42,C#4 F4 G#4 C#3 G#3,6,m
43,C#4 E4 A4 A2 E3,6,m
45,E-4 G#2 C3 F#3 A3,4,M
46,F#4 A3 F#2 C#3,4,M
47,E-4 A4 C#5 F#3 B2,4,M
48,D4 F#4 B4 G#3 E3,4,M
49,F#4 A4 C4 G#2 E-3,6,m
50,E-4 G#4 C#3 F3 C4,6,m
51,D4 F#4 G#3 E2 B2,6,m
52,C#3 G3 B3 A1 E2,6,m
54,D4 F#4 B4 B2 F#3 B3,6,m
55,C#4 F4 G#4 G#3 C#3,6,m
56,C#4 F#4 B-4 F#3 B-3 F#2 C#3,6,m
57,C#4 F4 B-2 F3 B-3,6,m
58,C#4 F4 B-2 F3 B-3,10,m
63,C#4 F4 B-2 F3 B-3,10,m
66,E-4 F#3 E-2 B-2,10,m
67,E4 G#3 E-2 B2,3,m
69,E-4 F#3 E-2 B-2,1,M
71,E4 G#3 E-2 B2,1,M
72,F#3 B3 G#2 E-3,1,M
73,F3 C#4 C#2 G#2,1,M
75,C#1 F3 C#4 C#2 G#2,1,M
76,F3 C#4 C#2 G#2,1,M
78,D4 G#4 C5 F3 B-3,5,m
84,B-2,?,?
84.5,F3,?,?
85,G#3,?,?
85.5,B-3,?,?
86,C4,?,?
86.5,F4,?,?
87,E-4 G4 A3 F2 C3,?,?
88,E-4 G4 F1 A3 F2 C3,?,?
90,C4 G4 G#3 E-3,8,M
91,C4 F4 G#3 C#3,8,M
92,C#4 B-4 B-2 F3,8,M
92.5,C#4 B-4 E-1 B-2 F3,8,m
93,E-4 G4 B-4 E-5 E-3 G3 B-3,8,m
96,E-4 G#4 G#3 B3,8,m
96.5,E-4 G4 B4 E-3 B-3,8,m
97,E4 G#4 C#5 C#3 G#3,8,m
97.5,G#4 C#5 E5 G#3 C#4,8,m
98,E4 G#4 C#5 C#3 G#3,8,m
98.5,G#4 C#5 E5 G#3 C#4,8,m
99,E4 G#4 B-3 F#2 C#3,8,m
100,E-4 F#4 B-4 B2 F#3 B-3,8,m
101,F3 B3 E-4 C#2 G#2,8,m
102,E3 G#3 C#4 F#2 B-2,?,?
103,F#3 G#3 C4 G#1 E-2,?,?
105,E-4 G#4 C#3 F3 B3,6,m
106.5,E-4 G#4 B4 G#3 B3 G#2 E-3,6,m
107,C#4 F#4 B-4 F#3 B-2,6,m
108,C#4 F4 G#4 C#3 G#3,6,m
109,C#4 E4 A4 A2 E3,6,m
111,E-4 G#2 C3 F#3 A3,4,M
112,F#4 A3 F#2 C#3,4,M
113,E-4 A4 C#5 F#3 B2,4,M
114,D4 F#4 B4 G#3 E3,4,M
115,F#4 A4 C4 G#2 E-3,6,m
116,E-4 G#4 C#3 F3 C4,6,m
117,D4 F#4 G#3 E2 B2,6,m
118,C#3 G3 B3 A1 E2,6,m
120,D4 F#4 B4 B2 F#3 B3,6,m
121,C#4 F4 G#4 G#3 C#3,6,m
122,C#4 F#4 B-4 F#3 B-3 F#2 C#3,6,m
123,C#4 F4 B-2 F3 B-3,6,m
124,C#4 F4 B-2 F3 B-3,10,m
129,C#4 F4 B-2 F3 B-3,1,M
132,G#4 F4 F3 G#3 C4 F2 C3,1,M
132.5,F5 G#5 F4 G#4 C5 C4 F3,1,M
135,E-4 G#4 C3 F#3 B-3,11,M
135.5,E-5 E-4 G#4 C3 F#3 B-3,11,M
136,B-4 F#4 C4 G#2 E-3,11,M
137,C#4 F#4 B-2 E3 G#3,11,M
137.5,C#5 C#4 F#4 B-2 E3 G#3,4,M
138,E4 G#4 B-3 F#2 C#3,4,M
139,E-3 A3 B3 B1 F#2,4,M
141,E4 E5 G#4 C#5 B2 G#3 B3 B0 B1,4,M
141.5,F#4 F#5 G#4 C#5 B2 G#3 B3 B0 B1,4,M
142,E-4 F#4 B4 E-5 B2 F#3 B-3 B0 B1,4,M
142.5,B-4 E-4 F#4 B4 E-5 B2 F#3 B-3,4,M
143,C#4 F4 G#4 C#5 C#3 G#3 B3,4,M
144,E5 G#5 E4 G#4 B4 G#3 B3,4,M
147,E4 E5 G#4 C#5 B2 G#3 B3 B0 B1,4,M
147.5,F#4 F#5 G#4 C#5 B2 G#3 B3 B0 B1,4,M
148,E-4 F#4 B4 E-5 B2 F#3 B-3 B0 B1,4,M
148.5,B-4 E-4 F#4 B4 E-5 B2 F#3 B-3,4,M
149,C#4 F4 G#4 C#5 C#3 G#3 B3,4,M
150,E5 G#5 E4 G#4 B4 G#3 B3,4,M
153,E5 G#5 E4 G#4 B4 B3 G#3,4,M
154,F#4 D4 G#3 E2 B2,4,M
155,C#4 E4 A4 C#5 C#3 E3 A3,4,M
156,E-3 A3 C#4 B1 F#2,4,M
157,G3 B3 E2 A2 C#3,4,M
159,E-4 A4 C#5 F#3 B3,4,M
165,B2,?,?
165.5,F#3,?,?
166,A3,?,?
166.5,B3,?,?
167,C#4,?,?
167.5,F#4,?,?
168,E4 G#4 B-3 F#2 C#3,?,?
171,E4 G#4 F#1 B-3 F#2 C#3,?,?
172,E4 G#4 B-3 F#2 C#3,?,?
174,E4 E5 G#4 C#5 B2 G#3 B3 B0 B1,4,M
174.5,F#4 F#5 G#4 C#5 B2 G#3 B3 B0 B1,4,M
