0,B-2 B-3,?,?
4,B-2 B-3,?,?
7,B-4,?,?
8,B-4 B-2 B-3,10,m
9.5,C#5 C#3 C#4,10,m
10,C5 C3 C4,10,m
11,B-4 B-2 B-3,10,m
12,A4 A2 A3,10,m
14,B-4 B-2 B-3,10,m
15,C5 C3 C4,10,m
16,F#4 F#2 F#3,10,m
17.75,F4 F2 F3,10,m
18,F#4 F#2 F#3,10,m
19.75,G#4 G#2 G#3,10,m
20,F4 F2 F3,10,m
23,C4 A4 C5 F1 F2,10,m
24,C4 B-4 C5 F#1 F#2,10,m
25.5,C4 B-4 C5,10,m
25.75,F2 F1 C4 B-4 C5,10,m
26,F#1 F#2 C4 B-4 C5,10,m
27.25,F#1 F#2,10,M
27.75,G#2 G#1,10,M
28,C4 A4 C5 F1 F2,10,M
31,F4 F3,10,M
32,F4 B-4 D3 B-3,10,M
33.5,F4 B-4 D3 B-3,10,M
34,G4 C5 E-3 B-3,10,M
35,F4 B-4 D3 B-3,10,M
36,D5 B-3 F3 F4,10,M
37.625,F3 F4,10,M
38,C5 A3 F3 F4,10,M
38.75,C5 F3 F4,10,M
39,G#3 C5 F3 F4,10,M
39.25,C5 G#3,10,M
39.625,G#3,10,M
40,E-5 C3 G3 C4 E-4 G4,10,M
40.75,G3 C4 E-4 G4,10,M
41,D5 D3 G3 C4 E-4 G4,10,M
41.375,G3 C4 E-4 G4,10,M
41.5,C5 E-3 G3 C4 E-4 G4,10,M
41.625,C5 E-3,10,M
42,F4 B-4 D5 F3 B-3 D4,10,M
43,C5 E-4 F4 A4 F3 A3 C4,10,M
43.375,E-4 F4 A4 C5 F3 A3 C4,10,M
43.5,C5 E-4 F4 A4 F3 A3 C4,10,M
43.75,C5,10,M
44,D4 F4 B-4 B-2 F3 B-3,10,M
45.25,D4 F4 B-4,10,M
45.5,B-2 D4 F4 B-4,10,M
45.875,D4 F4 B-4,10,M
46,A2 B-2 D4 F4 B-4,10,M
46.375,A2 B-2,10,M
47,G#2 B-2 B-3,10,M
48,B-3 E-4 G2 B-2,10,M
49,B-3 F4 F2 D3,10,M
49.5,B-3 G4 E-2 E-3,10,M
50,B-3 F4 F2 D3,10,M
51,A3 F4 F2 E-3,10,M
52,B-3 F4 B-2 D3,10,M
55,B-4 B-3,10,M
56,B-3 B-4,10,M
57.5,B-4,6,M
58,B-4,6,M
59,B-4 G#4 G#3,6,M
59.25,G#4 G#3,6,M
59.5,G#4 G#3,6,M
59.75,G#4,6,M
60,B-3 B-4 G#3 G#4,6,M
60.75,B-3 B-4,6,M
61,F#3 F#4 B-3 B-4,6,M
62.375,F#3 F#4,6,M
63,F#4 B-4 F#3 B-3,6,M
64,F#4 B4 C#3 G#3 B3,6,M
64.75,B4 C#3 G#3 B3,6,M
65,B4 F4 C#3 G#3 B3,6,M
65.25,F4 B4 C#3 G#3 B3,6,M
65.375,B4 C#3 G#3 B3,6,M
65.5,B4 E-4 C#3 G#3 B3,6,M
65.875,B4 C#3 G#3 B3,6,M
66,B4 F4 C#3 G#3 B3,6,M
67.5,C#5 G#4,6,M
68,B-4 F#4 F#3 B-3,6,M
69.5,B-4,6,M
69.75,B-4 C#5 B-3 C#4,6,M
70,F#4 B-4 F#3 B-3,6,M
71,B-4,6,M
72,B-3 B-4,6,M
73.5,B-4,3,m
74,B-4,3,m
74.5,G#4 G#3,3,m
75,F#4 F#3,3,m
75.5,F4 F3,3,m
76,B3 B4 F3 F4,3,m
76.75,B3 B4,3,m
77,E-3 E-4 B3 B4,3,m
78.375,E-3 E-4,6,M
79,F#4 B4 D3 F#3 B3,6,M
80,B4 F#4 C#3 G#3 B3,6,M
80.75,B4 C#3 G#3 B3,6,M
81,B4 F4 C#3 G#3 B3,6,M
81.375,B4 C#3 G#3 B3,6,M
81.5,B4 E-4 C#3 G#3 B3,6,M
81.875,B4 C#3 G#3 B3,6,M
82,B4 F4 C#3 G#3 B3,6,M
82.125,C#5 F4 B4 C#3 G#3 B3,6,M
82.25,B4 F4 C#3 G#3 B3,6,M
82.375,B-4 F4 B4 C#3 G#3 B3,6,M
82.5,B-4 F4 B4 C#3 G#3 B3,6,M
82.875,F4 B4 C#3 G#3 B3,6,M
83,B4 F4 C#3 G#3 B3,6,M
83.25,B4,6,M
83.5,C#5 G#4,6,M
84,B-4 F#4 F#3 B-3,6,M
85.5,B-4,6,M
85.75,B-4 C#5 B-3 C#4,6,M
86,F#4 B-4 F#3 B-3,6,M
