0,C#4 C#3,6,m
0.5,F#4 C#4 C#3,6,m
0.75,C#4 F#4 D3,6,m
1,G#4 F4 C#4 C#3 B3,6,m
1.5,G4 C#4 F4 C#3 B3,6,m
2,G#4 F4 C#4 C#3 B3,6,m
2.5,A4 C#4 F4 C#3 B3,6,m
3,F#4 C#4,6,m
3.75,G#4 C#4,6,m
4,A4 F#4 C#4 C#3 A3,6,m
4.5,B4 C#4 F#4 C#3 A3,6,m
5,C#5 F#4 C#4 C#3 A3,6,m
6,D5 B2,6,m
6.5,D5 F3 D4,6,m
7,D5 A3 A4,6,m
7.5,C#5 A3 A4,6,m
8,D5 D4 E4 G#4 E3 B3,6,m
8.5,E5 D4 E4 G#4 E3 B3,6,m
9,C#5 C#4 E-3 A2,6,m
9.5,B4 C#4 E-3 A2,9,M
10,A4 C#4 E3 A2,9,M
11,A4 C#4 E4,6,m
12,G#4 B3 F#4 D3,6,m
12.75,G#4 B3 F#4 G#2,6,m
13,G#4 B3 F#4 D3,6,m
13.5,G4 B3 F#4 D3,6,m
14,G#4 B3 F4 C#3,6,m
14.5,A4 B3 F4 C#3,6,m
15,A3 F#4 C3,6,m
15.75,G#4 A3 C3,6,m
16,A4 F#4 A3 C#3,6,m
16.5,B4 A3 F#4 C#3,6,m
17,C#5,6,m
18,B4,6,m
18.5,A4,6,m
19,G#4 F4 C#3 B3,6,m
20,A4 F4 C#3 B3,6,m
20.5,G#4 F4 C#3 B3,6,m
21,F#4 F#2,6,m
22,C#4 F#4 C#3 A3,6,m
23,C#4 F#4 C#3 A3,6,m
24,C#4 C#3,6,m
24.5,F#4 C#4 C#3,6,m
24.75,C#4 F#4 D3,6,m
25,G#4 F4 C#4 C#3 B3,6,m
25.5,G4 C#4 F4 C#3 B3,6,m
26,G#4 F4 C#4 C#3 B3,6,m
26.5,A4 C#4 F4 C#3 B3,6,m
27,F#4 C#4,6,m
27.75,G#4 C#4,6,m
28,A4 F#4 C#4 C#3 A3,6,m
28.5,B4 C#4 F#4 C#3 A3,6,m
29,C#5 F#4 C#4 C#3 A3,6,m
30,D5 B2,6,m
30.5,D5 F3 D4,6,m
31,D5 A3 A4,6,m
31.5,C#5 A3 A4,6,m
32,D5 D4 E4 G#4 E3 B3,6,m
32.5,E5 D4 E4 G#4 E3 B3,6,m
33,C#5 C#4 E-3 A2,6,m
33.5,B4 C#4 E-3 A2,9,M
34,A4 C#4 E3 A2,9,M
35,A4 C#4 E4,6,m
36,G#4 B3 F#4 D3,6,m
36.75,G#4 B3 F#4 G#2,6,m
37,G#4 B3 F#4 D3,6,m
37.5,G4 B3 F#4 D3,6,m
38,G#4 B3 F4 C#3,6,m
38.5,A4 B3 F4 C#3,6,m
39,A3 F#4 C3,6,m
39.75,G#4 A3 C3,6,m
40,A4 F#4 A3 C#3,6,m
40.5,B4 A3 F#4 C#3,6,m
41,C#5,6,m
42,B4,6,m
42.5,A4,6,m
43,G#4 F4 C#3 B3,6,m
44,A4 F4 C#3 B3,6,m
44.5,G#4 F4 C#3 B3,6,m
45,F#4 F#2,6,m
46,C#4 F#4 C#3 A3,6,m
47,C#4 F#4 C#3 A3,6,m
48,A2,9,M
49,A4 E5 E3 C#4,9,M
50,G#4 B4 E3 D4,9,M
51,A4,9,M
51.75,B4,9,M
52,A4 C#5 C#4,9,M
52.5,A4 C#5 B3,9,M
53,A4 C#5 A3,9,M
53.5,A4 C#5 F#3,9,M
54,A2 E3,9,M
55,A4 E5 E3 C#4,9,M
56,G#4 B4 E3 D4,9,M
57,A4,9,M
